NU_ANO_EDICAO;CO_CURSO;NO_AREA;DS_MODALIDADE;VL_NOTA_BRUTA_FG;VL_NOTA_BRUTA_CE;VL_NOTA_ENADE_CONTINUO
2016;109000;ENFERMAGEM;Educação Presencial;49.150001526000;44.799999237000;2.828900000000
2016;109028;ENFERMAGEM;Educação Presencial;36.189998627000;34.131248474000;1.248100000000
2016;1091379;AGRONOMIA;Educação Presencial;42.983673096000;59.259181976000;2.402000000000
2016;109258;ZOOTECNIA;Educação Presencial;42.167499542000;31.350000381000;1.464600000000
2016;109260;BIOMEDICINA;Educação Presencial;37.481819153000;30.381818771000;0.612500000000
2016;109282;FARMÁCIA;Educação Presencial;36.595455170000;38.609088898000;0.877000000000
2016;109284;NUTRIÇÃO;Educação Presencial;40.843975067000;50.769275665000;2.461300000000
2016;109286;NUTRIÇÃO;Educação Presencial;45.874286652000;48.251430511000;2.418000000000
2016;109288;ENFERMAGEM;Educação Presencial;40.415386200000;40.892307281000;2.116300000000
2016;109298;FARMÁCIA;Educação Presencial;;;
2016;109300;ENFERMAGEM;Educação Presencial;41.690910339000;43.763637543000;2.467600000000
2016;109303;FARMÁCIA;Educação Presencial;39.272914886000;45.733333588000;1.676900000000
2016;109305;NUTRIÇÃO;Educação Presencial;38.738235474000;37.450000763000;1.274300000000
2016;109309;ENFERMAGEM;Educação Presencial;42.534999847000;50.239997864000;3.191800000000
2016;109320;FISIOTERAPIA;Educação Presencial;39.360000610000;27.309091568000;1.279400000000
2016;109322;ENFERMAGEM;Educação Presencial;37.520408630000;32.871429443000;1.157300000000
2016;109337;ODONTOLOGIA;Educação Presencial;35.880001068000;48.492000580000;1.053700000000
2016;109418;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação a Distância;36.904788971000;36.789520264000;1.219400000000
2016;109456;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;43.945652008000;44.495651245000;2.612200000000
2016;109458;SERVIÇO SOCIAL;Educação Presencial;35.524780273000;43.066814423000;1.736500000000
2016;109482;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;39.141937256000;49.125804901000;2.852800000000
2016;109484;AGRONOMIA;Educação Presencial;38.811538696000;41.969230652000;0.335400000000
2016;109504;SERVIÇO SOCIAL;Educação Presencial;34.840476990000;37.626190186000;1.305700000000
2016;109533;SERVIÇO SOCIAL;Educação Presencial;39.216278076000;47.590698242000;2.203700000000
2016;109537;FISIOTERAPIA;Educação Presencial;37.967998505000;33.088001251000;1.858300000000
2016;109541;ENFERMAGEM;Educação Presencial;39.171428680000;50.471427917000;3.104000000000
2016;109543;BIOMEDICINA;Educação Presencial;41.784999847000;44.279998779000;2.309000000000
2016;109545;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;39.116001129000;33.652000427000;1.021900000000
2016;109560;BIOMEDICINA;Educação Presencial;53.660869598000;45.756523132000;2.893100000000
2016;109562;NUTRIÇÃO;Educação Presencial;38.486606598000;48.208927155000;2.168000000000
2016;109564;FISIOTERAPIA;Educação Presencial;40.385585785000;38.490089417000;2.528500000000
2016;109566;ENFERMAGEM;Educação Presencial;41.119232178000;45.134616852000;2.595700000000
2016;109568;FISIOTERAPIA;Educação Presencial;44.390625000000;33.446876526000;2.120300000000
2016;109574;ENFERMAGEM;Educação Presencial;38.123435974000;33.974998474000;1.296100000000
2016;109576;ENFERMAGEM;Educação Presencial;46.153659821000;47.090244293000;2.974600000000
2016;109582;AGRONOMIA;Educação Presencial;40.342105865000;55.384208679000;1.871600000000
2016;109586;NUTRIÇÃO;Educação Presencial;40.869728088000;44.589729309000;1.944000000000
2016;10967;ENFERMAGEM;Educação Presencial;42.982608795000;42.913043976000;2.419400000000
2016;10968;NUTRIÇÃO;Educação Presencial;51.466667175000;58.333332062000;3.449800000000
2016;109692;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;42.895454407000;49.981819153000;3.196000000000
2016;109710;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;31.732500076000;34.340000153000;0.481300000000
2016;10975;AGRONOMIA;Educação Presencial;43.676666260000;63.663333893000;2.913800000000
2016;1098;SERVIÇO SOCIAL;Educação Presencial;48.517646790000;66.452941895000;3.939000000000
2016;109819;TECNOLOGIA EM GESTÃO HOSPITALAR;Educação Presencial;44.154544830000;46.890907288000;2.729300000000
2016;109881;ENFERMAGEM;Educação Presencial;33.447803497000;36.523075104000;1.413300000000
2016;109923;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;44.527271271000;48.299999237000;3.070800000000
2016;1099294;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;;;
2016;109934;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;;;
2016;1099720;MEDICINA VETERINÁRIA;Educação Presencial;42.971427917000;48.740818024000;2.366500000000
2016;109978;FISIOTERAPIA;Educação Presencial;46.557144165000;34.403572083000;2.299300000000
2016;1214613;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;42.834999084000;31.829999924000;1.316700000000
2016;121466;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;44.292591095000;44.385185242000;3.104500000000
2016;121471;FARMÁCIA;Educação Presencial;43.344444275000;45.400001526000;1.787800000000
2016;121476;SERVIÇO SOCIAL;Educação Presencial;34.349998474000;59.833332062000;2.949500000000
2016;1214846;BIOMEDICINA;Educação Presencial;56.992309570000;43.415386200000;2.750900000000
2016;1215159;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;44.137500763000;42.825000763000;2.429200000000
2016;1216373;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;42.478572845000;38.357143402000;1.619200000000
2016;121669;SERVIÇO SOCIAL;Educação Presencial;43.700000763000;65.624244690000;3.708900000000
2016;121704;ENFERMAGEM;Educação Presencial;49.223808289000;52.004760742000;3.605600000000
2016;121740;ENFERMAGEM;Educação Presencial;43.904346466000;39.534782410000;2.087300000000
2016;121848;ENFERMAGEM;Educação Presencial;57.768749237000;58.684375763000;4.609700000000
2016;121850;MEDICINA;Educação Presencial;64.983329773000;67.303329468000;2.865900000000
2016;121852;NUTRIÇÃO;Educação Presencial;51.154838562000;61.864517212000;3.735500000000
2016;121886;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;49.619564056000;53.576087952000;3.882800000000
2016;121906;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;34.517143250000;44.397144318000;1.962300000000
2016;121932;SERVIÇO SOCIAL;Educação Presencial;26.030435562000;40.271739960000;1.196100000000
2016;122052;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;;;
2016;122278;FARMÁCIA;Educação Presencial;47.668182373000;50.318180084000;2.427500000000
2016;122288;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;45.674358368000;55.002563477000;3.883800000000
2016;122312;AGRONOMIA;Educação Presencial;52.323215485000;63.898216248000;3.280200000000
2016;122326;ZOOTECNIA;Educação Presencial;48.319511414000;41.431705475000;2.700500000000
2016;122343;FONOAUDIOLOGIA;Educação Presencial;48.603702545000;58.948146820000;2.807500000000
